element_id,grouped_element_key,task,level,takt_zone_id,allocation_room,source_category,source_original_category,quantity,quantity_unit,allocation_method,split_from_element_id,split_share
1290834,mep-assembly:1440401:y-long,MEP,L 1,L 1 Takt Zone 4,L 1 Room 175,Ducts,,1.0,EA,centroid in room polygon,,1.0
1290835,mep-assembly:1440401:y-long,MEP,L 1,L 1 Takt Zone 4,L 1 Room 175,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290840,mep-assembly:1440401:x-long,MEP,L 1,L 1 Takt Zone 4,L 1 Room 175,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290849,mep-assembly:1440402:y-long,MEP,L 1,L 1 Takt Zone 5,L 1 Room 176,Air Terminals,,1.0,EA,centroid in room polygon,,1.0
1290850,mep-assembly:1440402:x-long,MEP,L 1,L 1 Takt Zone 5,L 1 Room 176,Ducts,,1.0,EA,centroid in room polygon,,1.0
1290851,mep-assembly:1440402:y-long,MEP,L 1,L 1 Takt Zone 5,L 1 Room 176,Ducts,,1.0,EA,centroid in room polygon,,1.0
1290852,mep-assembly:1440402:y-long,MEP,L 1,L 1 Takt Zone 5,L 1 Room 176,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290857,mep-assembly:1440402:x-long,MEP,L 1,L 1 Takt Zone 5,L 1 Room 176,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290866,mep-assembly:1440403:y-long,MEP,L 1,L 1 Takt Zone 5,L 1 Room 177,Air Terminals,,1.0,EA,centroid in room polygon,,1.0
1290867,mep-assembly:1440403:x-long,MEP,L 1,L 1 Takt Zone 5,L 1 Room 177,Ducts,,1.0,EA,centroid in room polygon,,1.0
1290868,mep-assembly:1440403:y-long,MEP,L 1,L 1 Takt Zone 5,L 1 Room 177,Ducts,,1.0,EA,centroid in room polygon,,1.0
1290869,mep-assembly:1440403:y-long,MEP,L 1,L 1 Takt Zone 5,L 1 Room 177,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290874,mep-assembly:1440403:x-long,MEP,L 1,L 1 Takt Zone 5,L 1 Room 177,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290883,mep-assembly:1440404:y-long,MEP,L 1,L 1 Takt Zone 6,L 1 Room 178,Air Terminals,,1.0,EA,centroid in room polygon,,1.0
1290884,mep-assembly:1440404:x-long,MEP,L 1,L 1 Takt Zone 6,L 1 Room 178,Ducts,,1.0,EA,centroid in room polygon,,1.0
1290885,mep-assembly:1440404:y-long,MEP,L 1,L 1 Takt Zone 6,L 1 Room 178,Ducts,,1.0,EA,centroid in room polygon,,1.0
1290886,mep-assembly:1440404:y-long,MEP,L 1,L 1 Takt Zone 6,L 1 Room 178,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1290891,mep-assembly:1440404:x-long,MEP,L 1,L 1 Takt Zone 6,L 1 Room 178,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
