ID,NAME,CATALOG ID,DESCRIPTION,CATEGORY,SUB CATEGORY,MEASURE UNIT,Vendor,Default Vendor,Pref Vendor,Vendor SKU/Part #,Vendor Description,Vendor Item Cost,Vendor Lead Time
MEP_AIR_TERMINALS_SUPPLY_DIFFUSER_8X8_CONNECTION_4_4_X4,"MEP Air Terminals | Supply Diffuser | 8x8 Connection 4 | 4""x4""",PART-MEP_AIR_TERMINALS-199DEF97,"MEP rough-in part for Air Terminals | Supply Diffuser | 8x8 Connection 4 | 4""x4""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_AIR_TERMINALS_SWEGON_AB_CKDA_1_ALSD_VK_RFA_2026_LEVELBASED_CKDA_1_400_V_VK_ALSD_315_400_12_Ø,"MEP Air Terminals | Swegon_AB_CKDa-1_ALSd-_VK_RFA_2026_LevelBased | CKDa 1-400-V-VK+ALSd 315-400 | 12""ø",PART-MEP_AIR_TERMINALS-11A5F28C,"MEP rough-in part for Air Terminals | Swegon_AB_CKDa-1_ALSd-_VK_RFA_2026_LevelBased | CKDa 1-400-V-VK+ALSd 315-400 | 12""ø",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_10_X10,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 10""x10""",PART-MEP_DUCTS_UNSPECIF-1A72497D,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 10""x10""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_10_X11,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 10""x11""",PART-MEP_DUCTS_UNSPECIF-34F7AEE1,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 10""x11""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_11_X11,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 11""x11""",PART-MEP_DUCTS_UNSPECIF-79B6DC63,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 11""x11""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_11_X12,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 11""x12""",PART-MEP_DUCTS_UNSPECIF-EA811A1C,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 11""x12""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_12_X10,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 12""x10""",PART-MEP_DUCTS_UNSPECIF-07D73624,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 12""x10""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_12_X12,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 12""x12""",PART-MEP_DUCTS_UNSPECIF-237AD2AE,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 12""x12""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_12_X13,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 12""x13""",PART-MEP_DUCTS_UNSPECIF-083A03E0,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 12""x13""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_12_X8,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 12""x8""",PART-MEP_DUCTS_UNSPECIF-F49444E0,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 12""x8""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_12_X9,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 12""x9""",PART-MEP_DUCTS_UNSPECIF-CA9BD679,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 12""x9""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_13_X13,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 13""x13""",PART-MEP_DUCTS_UNSPECIF-5F425A46,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 13""x13""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_13_X14,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 13""x14""",PART-MEP_DUCTS_UNSPECIF-BCAB004C,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 13""x14""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_13_X9,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 13""x9""",PART-MEP_DUCTS_UNSPECIF-892FF2BA,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 13""x9""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_14_X13,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 14""x13""",PART-MEP_DUCTS_UNSPECIF-ECBF1C5A,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 14""x13""",Parts,MEP Rough-In,EACH,,,,,,,
